,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
408,2021/03/08 12:18:32 pm GMT+5:30,3,4,5,4,Gymkhana Park;Library;Tech Market;Other Hall of Residence;Tata Sports Complex;2.2,3,3,Your own Hall Canteen;PFC;CCD Mio Amore Area,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;Main Building;Tata Sports Complex;Tech Market,10pm-11pm,UG,2nd,LBS Hall,MA
409,2021/03/08 12:18:34 pm GMT+5:30,4,3,5,3,2.2;Outside Campus;Other,1,10,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Tikka;Smart Pind;Other,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Tech Market;Outside Campus,1am-2am,UG,3rd,MMM Hall,MA
410,2021/03/08 12:18:35 pm GMT+5:30,0,0,0,0,I don't go anywhere,0,0,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,UG,2nd,LBS Hall,ME
411,2021/03/08 12:18:39 pm GMT+5:30,2,2,1,3,Main Building;Tech Market;2.2;A Department,2,4,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;I generally eat in my hall mess,5PM-7PM;7PM-9PM,2.2;Outside Campus;Netaji Auditorium,9pm-10pm,PG,5th,B R Ambedkar Hall,CY
412,2021/03/08 12:18:40 pm GMT+5:30,2,3,2,2,Library;Tech Market;Tata Sports Complex;2.2,1,1,Other Hall Canteens;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Library;Tata Sports Complex;Tech Market,9pm-10pm,UG,2nd,RP Hall,ME
415,2021/03/08 12:19:08 pm GMT+5:30,1,2,1,2,Tech Market;A Department;Other,2,2,Your own Hall Canteen;PFC;Tikka,5PM-7PM;7PM-9PM,Tech Market;A Department;Other,I usually stay in my room,PG,5th,LBS Hall,BT
418,2021/03/08 12:19:23 pm GMT+5:30,0,3,5,6,Tech Market;2.2;Outside Campus,2,2,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Sahara;Super Duper;Tikka;Billoos;Subway,9AM-11AM,Tech Market;Outside Campus;Netaji Auditorium,9pm-10pm,PG,4th,LLR Hall,CS
419,2021/03/08 12:19:29 pm GMT+5:30,2,1,1,2,Gymkhana Park;Library;Tech Market;2.2;Outside Campus,2,2,Your own Hall Canteen;PFC;Outside Campus;Tech Market;I generally eat in my hall mess,7PM-9PM;9PM-11PM,2.2;Library;Tech Market;Outside Campus,10pm-11pm,UG,2nd,LBS Hall,EC
420,2021/03/08 12:19:30 pm GMT+5:30,2,3,3,2,Gymkhana Park;Tech Market;Other,1,3,CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Dreamland;Sahara;Billoos;Smart Pind;I generally eat in my hall mess,7PM-9PM;9PM-11PM,Tech Market,11pm-12am,UG,2nd,LBS Hall,MI
421,2021/03/08 12:19:36 pm GMT+5:30,4,3,5,5,Gymkhana;Library;Main Building;Tata Sports Complex;Basketball/Tennis courts;Nalanda;A Department;Nehru Museum,2,3,Your own Hall Canteen;Heritage;Veggies;Super Duper;Tikka,9AM-11AM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Main Building;Tata Sports Complex;Basketball/Tennis Courts;Outside Campus;A Department;Nehru Museum,10pm-11pm,PG,1st,Nehru Hall,MT
