,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
87,2021/03/08 11:58:05 am GMT+5:30,3,3,3,3,Gymkhana;Library;Main Building;Tech Market;Nalanda;2.2;A Department,2,6,Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Tikka;Smart Pind;Subway,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,2.2;Library;Tech Market;A Department,12am-1am,UG,3rd,MT Hall,IM
88,2021/03/08 11:58:09 am GMT+5:30,1,2,2,2,Library;Main Building;Tech Market;Nalanda;Outside Campus,3,1,Tikka;I generally eat in my hall mess,5PM-7PM;7PM-9PM,I don't go anywhere,I usually stay in my room,UG,2nd,Nivedita Hall,ME
89,2021/03/08 11:58:13 am GMT+5:30,4,2,4,2,Tech Market;Nalanda;2.2,2,6,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Tech Market;Food City,11AM-1PM;1PM-3PM;9PM-11PM,Gymkhana;2.2;Tech Market,11pm-12am,UG,3rd,LBS Hall,CS
90,2021/03/08 11:58:13 am GMT+5:30,3,2,5,3,Gymkhana Park;Tech Market;Outside Campus,2,3,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Food City;Dreamland,7PM-9PM;9PM-11PM,Tech Market;Other,11pm-12am,PG,2nd,MMM Hall,HS
91,2021/03/08 11:58:14 am GMT+5:30,5,3,3,3,Gymkhana;Library;Main Building;Tech Market;Vikramshila;Nalanda;A Department,4,6,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Veggies;Smart Pind;Subway,1PM-3PM;5PM-7PM,Gymkhana;Library;Main Building;Tech Market,9pm-10pm,UG,2nd,LBS Hall,CS
92,2021/03/08 11:58:14 am GMT+5:30,2,5,5,5,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus,4,10,Your own Hall Canteen;Other Hall Canteens;Outside Campus,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Nalanda Complex;Vikramshila;Tech Market;Outside Campus,12am-1am,UG,4th,MMM Hall,EE
93,2021/03/08 11:58:17 am GMT+5:30,1,5,5,5,Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Vikramshila;2.2;Outside Campus;A Department,4,10,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen,11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Tata Sports Complex;Basketball/Tennis Courts;Outside Campus;A Department,11pm-12am,PG,2nd,B R Ambedkar Hall,EC
94,2021/03/08 11:58:19 am GMT+5:30,5,4,5,2,Library;Main Building;Tech Market;Other Hall of Residence;Basketball/Tennis courts;Nalanda;2.2;A Department,2,3,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Subway,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Main Building;Tech Market;Basketball/Tennis Courts;A Department;Other,12am-1am,UG,4th,LBS Hall,ME
95,2021/03/08 11:58:20 am GMT+5:30,1,4,0,2,Library;Tech Market;Vikramshila;Nalanda;Other,1,3,Your own Hall Canteen;Outside Campus;Tech Market;I generally eat in my hall mess,5PM-7PM,Tech Market,9pm-10pm,UG,2nd,LBS Hall,EC
96,2021/03/08 11:58:21 am GMT+5:30,4,4,5,7,Gymkhana;Gymkhana Park;Library;Tech Market;Tata Sports Complex;Nalanda;2.2,3,7,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Food City;Smart Pind,1PM-3PM;7PM-9PM,Gymkhana;2.2;Library;Tata Sports Complex,9pm-10pm,UG,2nd,LBS Hall,GG
97,2021/03/08 11:58:22 am GMT+5:30,1,2,1,1,Gymkhana;Library;Main Building;Nalanda;A Department,1,1,Your own Hall Canteen;I generally eat in my hall mess,7PM-9PM,Gymkhana,I usually stay in my room,UG,2nd,LBS Hall,AE
98,2021/03/08 11:58:23 am GMT+5:30,0,4,5,2,Gymkhana;A Department,1,0,Tech Market,7PM-9PM,Gymkhana;Tech Market,10pm-11pm,UG,5th,RK Hall,ME
99,2021/03/08 11:58:23 am GMT+5:30,4,2,2,4,Gymkhana Park;Tech Market;2.2;Outside Campus,2,5,Outside Campus;CCD Mio Amore Area;Dreamland;Subway,5PM-7PM;7PM-9PM,2.2;Tata Sports Complex;Tech Market;Basketball/Tennis Courts;Nehru Museum,12am-1am,PG,5th,B R Ambedkar Hall,CY
100,2021/03/08 11:58:32 am GMT+5:30,2,1,5,8,Gymkhana;Library;Main Building;Tech Market;Nalanda;2.2;Outside Campus;A Department,4,6,Outside Campus;CCD Mio Amore Area;Tech Market;Food City;VSRC canteen;Super Duper;Tikka;Subway;Other,9AM-11AM;11AM-1PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Main Building;Nalanda Complex;Tech Market;Outside Campus;A Department,11pm-12am,PG,2nd,B R Ambedkar Hall,CE
101,2021/03/08 11:58:32 am GMT+5:30,3,3,1,2,Tech Market;Outside Campus,4,2,Your own Hall Canteen;Other Hall Canteens;Heritage;Sahara;Subway,5PM-7PM;9PM-11PM,Tech Market;Outside Campus,10pm-11pm,UG,2nd,LBS Hall,MI
102,2021/03/08 11:58:34 am GMT+5:30,2,1,0,1,Gymkhana;Gymkhana Park;Library;Tech Market,1,4,Your own Hall Canteen;PFC;Tech Market;Food City;I generally eat in my hall mess,7PM-9PM,Gymkhana;Library;Tech Market,10pm-11pm,UG,2nd,LBS Hall,MA
103,2021/03/08 11:58:39 am GMT+5:30,2,1,1,1,I don't go anywhere,1,1,Your own Hall Canteen,5PM-7PM,Library,I usually stay in my room,PG,1st,MMM Hall,EC
104,2021/03/08 11:58:43 am GMT+5:30,3,4,3,4,Gymkhana Park;Tech Market;Other Hall of Residence;2.2,1,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market,1PM-3PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Tech Market;Outside Campus;Other,10pm-11pm,UG,3rd,LBS Hall,AE
105,2021/03/08 11:58:43 am GMT+5:30,3,3,5,1,Tech Market;Other Hall of Residence;Other,2,4,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Food City;Billoos;Smart Pind;Other,7PM-9PM;9PM-11PM,Other Halls of Residence;Tech Market;Outside Campus;Other,10pm-11pm,PG,2nd,MMM Hall,EC
106,2021/03/08 11:58:46 am GMT+5:30,3,5,5,4,Gymkhana;Gymkhana Park;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;A Department;Nehru Museum,3,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Dreamland;Smart Pind,9AM-11AM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Main Building;Tata Sports Complex;Tech Market;Basketball/Tennis Courts;Netaji Auditorium;A Department,12am-1am,PG,2nd,LBS Hall,AG
107,2021/03/08 11:58:46 am GMT+5:30,1,1,1,0,Tech Market,0,3,Other Hall Canteens,7PM-9PM,Other Halls of Residence,11pm-12am,UG,5th,MS Hall,MT
109,2021/03/08 11:58:50 am GMT+5:30,0,1,0,1,Library;A Department,0,0,I generally eat in my hall mess,5PM-7PM,Library;Tech Market,I usually stay in my room,UG,3rd,Patel Hall,CY
110,2021/03/08 11:58:52 am GMT+5:30,4,5,5,2,Gymkhana;Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus,2,4,Your own Hall Canteen;PFC;CCD Mio Amore Area;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Gymkhana Park;2.2;Tech Market;Outside Campus;Netaji Auditorium,11pm-12am,UG,4th,Vidyasagar Hall,MT
111,2021/03/08 11:58:53 am GMT+5:30,3,5,5,5,Gymkhana;Gymkhana Park;Tech Market;Other Hall of Residence;2.2;Outside Campus,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Peep Kitchen;Food City;VSRC canteen;Tikka;Smart Pind;Subway;Other,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Tech Market;Outside Campus,12am-1am,UG,4th,Nehru Hall,CS
112,2021/03/08 11:58:53 am GMT+5:30,2,0,2,1,Library;Tech Market;Other,1,1,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,UG,3rd,MMM Hall,ME
114,2021/03/08 11:58:58 am GMT+5:30,2,4,5,5,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Vikramshila;Nalanda;2.2;Outside Campus;A Department,0,6,Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Veggies;Food City;Super Duper;Tikka;Smart Pind;Subway,1PM-3PM;3PM-5PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Tech Market,1am-2am,UG,4th,MMM Hall,CE
115,2021/03/08 11:59:03 am GMT+5:30,4,3,5,2,Library;Tech Market;Tata Sports Complex,2,5,CCD Mio Amore Area;Veggies;Super Duper;Tikka,7PM-9PM,Tech Market;Netaji Auditorium,9pm-10pm,PG,4th,B R Ambedkar Hall,IM
116,2021/03/08 11:59:12 am GMT+5:30,4,2,5,3,Gymkhana;Basketball/Tennis courts;2.2,2,7,Other Hall Canteens;Other,5PM-7PM;7PM-9PM,Gymkhana;2.2;Basketball/Tennis Courts,10pm-11pm,PG,2nd,MMM Hall,MT
117,2021/03/08 11:59:13 am GMT+5:30,4,5,2,4,Gymkhana;Gymkhana Park;Main Building;Tata Sports Complex;Vikramshila;Nalanda;A Department,2,3,Your own Hall Canteen;Other Hall Canteens;Tech Market;Food City,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Tata Sports Complex;Nalanda Complex;Tech Market;Netaji Auditorium,11pm-12am,UG,2nd,LBS Hall,EC
118,2021/03/08 11:59:13 am GMT+5:30,1,2,5,4,Library;Main Building;Tech Market;A Department,2,2,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market,9AM-11AM,Library;Main Building;Tech Market;Outside Campus,10pm-11pm,UG,2nd,LBS Hall,EC
119,2021/03/08 11:59:13 am GMT+5:30,3,3,2,1,Gymkhana Park;Library;Tech Market,3,10,Your own Hall Canteen;Tech Market;Peep Kitchen;Veggies;Food City;I generally eat in my hall mess,7PM-9PM,Library;Main Building;Tech Market,1am-2am,UG,4th,Vidyasagar Hall,CH
120,2021/03/08 11:59:14 am GMT+5:30,0,5,2,1,Gymkhana;Outside Campus,2,0,I generally eat in my hall mess,7PM-9PM,Gymkhana;Outside Campus,9pm-10pm,PG,2nd,MMM Hall,
122,2021/03/08 11:59:17 am GMT+5:30,2,2,5,1,Library;Tech Market;Other Hall of Residence;A Department,1,5,Your own Hall Canteen;PFC;CCD Mio Amore Area;Peep Kitchen;Smart Pind,7PM-9PM;9PM-11PM,Other Halls of Residence;Tech Market;Other,11pm-12am,UG,3rd,Azad Hall,ME
123,2021/03/08 11:59:20 am GMT+5:30,2,1,1,1,Library;Tech Market;A Department,1,0,I generally eat in my hall mess,11AM-1PM,Tech Market,I usually stay in my room,PG,2nd,MMM Hall,
124,2021/03/08 11:59:21 am GMT+5:30,5,4,5,4,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;Nalanda;2.2;Outside Campus;Other,3,4,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Tech Market;Other;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Nalanda Complex;Tech Market;Basketball/Tennis Courts;Outside Campus;Other,1am-2am,PG,2nd,LBS Hall,CE
126,2021/03/08 11:59:21 am GMT+5:30,2,3,2,6,Gymkhana Park;Library;Main Building;Tech Market;2.2,2,2,Your own Hall Canteen;Heritage;Tech Market;VSRC canteen;Smart Pind,3PM-5PM;5PM-7PM,2.2;Library;Main Building;Tech Market,12am-1am,UG,2nd,MT Hall,EE
127,2021/03/08 11:59:23 am GMT+5:30,4,3,5,5,Tech Market;2.2;A Department,2,7,Outside Campus;CCD Mio Amore Area;Tech Market;Tikka,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Outside Campus,12am-1am,UG,4th,MT Hall,AR
129,2021/03/08 11:59:25 am GMT+5:30,3,3,2,4,Gymkhana;Gymkhana Park;Tech Market;Tata Sports Complex;Basketball/Tennis courts,2,3,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Sahara;Super Duper,9AM-11AM;11AM-1PM;1PM-3PM,Basketball/Tennis Courts;Netaji Auditorium,11pm-12am,UG,2nd,LBS Hall,GG
131,2021/03/08 11:59:37 am GMT+5:30,2,3,5,5,Library;Main Building;Tech Market;Other Hall of Residence;Basketball/Tennis courts,2,3,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market;Veggies,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Basketball/Tennis Courts;Outside Campus,12am-1am,UG,3rd,LLR Hall,CS
132,2021/03/08 11:59:41 am GMT+5:30,4,1,3,6,Tech Market;Other Hall of Residence;Nalanda,1,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,9PM-11PM,Other Halls of Residence;Tech Market,10pm-11pm,UG,5th,LBS Hall,CS
133,2021/03/08 11:59:41 am GMT+5:30,0,3,3,4,Gymkhana;Gymkhana Park;Library;Tech Market;Other Hall of Residence;Tata Sports Complex;Nalanda;2.2;Outside Campus;A Department,2,2,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Peep Kitchen;Super Duper;Tikka;Smart Pind;I generally eat in my hall mess,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Tech Market;Outside Campus;Netaji Auditorium;A Department,9pm-10pm,PG,2nd,MMM Hall,AG
134,2021/03/08 11:59:44 am GMT+5:30,4,3,3,2,Gymkhana;Library;Main Building;Tech Market;2.2;Outside Campus,1,3,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Veggies;Subway,5PM-7PM;7PM-9PM,Tech Market;Outside Campus,9pm-10pm,UG,4th,LBS Hall,EX
135,2021/03/08 11:59:46 am GMT+5:30,2,3,5,4,Library;Tech Market;Tata Sports Complex;2.2;A Department,2,1,Your own Hall Canteen;Other Hall Canteens;Tech Market;I generally eat in my hall mess,5PM-7PM;7PM-9PM,2.2;Library;Tata Sports Complex;Tech Market,9pm-10pm,PG,1st,MMM Hall,IE
136,2021/03/08 11:59:47 am GMT+5:30,3,3,4,4,Library;Main Building;Tech Market;Nalanda;2.2,2,6,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Smart Pind;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Library;Main Building;Tech Market;Basketball/Tennis Courts;Netaji Auditorium,11pm-12am,UG,3rd,SN-IG Hall,MF
137,2021/03/08 11:59:50 am GMT+5:30,3,3,5,5,Gymkhana;Library;Main Building;Tech Market;Vikramshila;Nalanda;2.2,2,6,Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Tikka;Smart Pind;Subway;I generally eat in my hall mess,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Nalanda Complex;Tech Market;Outside Campus,12am-1am,UG,2nd,MT Hall,CS
138,2021/03/08 11:59:54 am GMT+5:30,0,2,1,2,Gymkhana;Basketball/Tennis courts,2,5,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,7PM-9PM,Basketball/Tennis Courts,I usually stay in my room,PG,1st,MMM Hall,HS
139,2021/03/08 11:59:59 am GMT+5:30,4,3,5,8,Library;Main Building;Nalanda;A Department,3,0,I generally eat in my hall mess,9AM-11AM;11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM,Library;Main Building;Tech Market;A Department,12am-1am,UG,5th,RK Hall,CY
140,2021/03/08 12:00:00 pm GMT+5:30,2,4,5,5,Gymkhana;Gymkhana Park;Main Building;Tech Market;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Nehru Museum,3,4,PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Dreamland;Sahara;Tikka;Billoos;Smart Pind;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Vikramshila;Tech Market;Outside Campus;Netaji Auditorium,11pm-12am,UG,4th,MT Hall,CH
141,2021/03/08 12:00:06 pm GMT+5:30,2,0,0,2,Library;A Department,1,0,I generally eat in my hall mess,11AM-1PM;5PM-7PM,Gymkhana Park;Library;Tech Market;A Department,I usually stay in my room,PG,1st,Nivedita Hall,CH
142,2021/03/08 12:00:07 pm GMT+5:30,1,3,5,3,Gymkhana;Library;Main Building;Tech Market;2.2;Outside Campus;A Department,2,10,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Tikka;Smart Pind;Subway,11AM-1PM;1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Tech Market,1am-2am,UG,4th,RP Hall,AE
143,2021/03/08 12:00:15 pm GMT+5:30,2,1,5,3,Tech Market;2.2,1,1,Your own Hall Canteen,5PM-7PM;7PM-9PM,Tech Market,10pm-11pm,UG,4th,LBS Hall,HS
144,2021/03/08 12:00:16 pm GMT+5:30,4,4,5,3,Library;Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus,2,4,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;Smart Pind;Subway,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Main Building;Tech Market,1am-2am,UG,2nd,Azad Hall,
145,2021/03/08 12:00:18 pm GMT+5:30,4,2,5,4,Gymkhana;Library;Main Building;Tech Market;Tata Sports Complex;2.2,3,1,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Smart Pind,9AM-11AM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Tech Market,10pm-11pm,PG,2nd,MMM Hall,EE
146,2021/03/08 12:00:19 pm GMT+5:30,3,5,5,4,Library;Main Building;Tech Market;Other Hall of Residence;2.2,2,5,Your own Hall Canteen;Other Hall Canteens;Tech Market;I generally eat in my hall mess,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;2.2;Library;Main Building;Tech Market,9pm-10pm,UG,2nd,LBS Hall,CE
147,2021/03/08 12:00:28 pm GMT+5:30,0,0,0,0,I don't go anywhere,0,0,Other,Never,I don't go anywhere,I usually stay in my room,PG,1st,MMM Hall,AG
148,2021/03/08 12:00:28 pm GMT+5:30,3,3,2,3,Gymkhana;Tech Market;Tata Sports Complex;2.2;Outside Campus,2,2,Your own Hall Canteen;Outside Campus;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Main Building;Tata Sports Complex;Outside Campus,1am-2am,UG,5th,LLR Hall,ME
149,2021/03/08 12:00:37 pm GMT+5:30,2,1,1,1,Tech Market,1,2,Your own Hall Canteen;Tech Market;I generally eat in my hall mess,7PM-9PM,Tech Market,I usually stay in my room,UG,2nd,LBS Hall,ME
150,2021/03/08 12:00:37 pm GMT+5:30,1,1,2,1,Gymkhana;Main Building;Tech Market;Outside Campus,0,2,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Veggies;Super Duper;Smart Pind,7PM-9PM;9PM-11PM,Main Building;Tech Market;Outside Campus,11pm-12am,UG,5th,RK Hall,AG
151,2021/03/08 12:00:38 pm GMT+5:30,5,5,5,6,Library;Main Building;Other Hall of Residence;Vikramshila;Nalanda;2.2;A Department,3,7,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Tech Market;Food City;Tikka;Other,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Outside Campus;Netaji Auditorium;A Department,11pm-12am,UG,2nd,RP Hall,
152,2021/03/08 12:00:43 pm GMT+5:30,2,3,5,3,Gymkhana Park;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2,3,7,PFC;Other Hall Canteens;CCD Mio Amore Area;Veggies;Smart Pind,3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;2.2;Tech Market,11pm-12am,UG,2nd,LBS Hall,EC
153,2021/03/08 12:00:46 pm GMT+5:30,3,4,2,2,Gymkhana;Tech Market;Vikramshila;2.2,2,4,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Vikramshila;Outside Campus,1am-2am,UG,2nd,LBS Hall,ME
154,2021/03/08 12:00:49 pm GMT+5:30,0,5,2,3,Main Building;Tech Market,3,1,Your own Hall Canteen;PFC;Outside Campus;Tech Market;Food City;I generally eat in my hall mess,11AM-1PM;5PM-7PM,Other Halls of Residence;Tech Market;Outside Campus;Netaji Auditorium,I usually stay in my room,UG,4th,HJB Hall,EE
155,2021/03/08 12:00:53 pm GMT+5:30,0,4,4,2,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2,1,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Tikka;I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Tech Market;Outside Campus,11pm-12am,UG,2nd,LBS Hall,CH
156,2021/03/08 12:00:55 pm GMT+5:30,2,1,3,3,Tech Market;Other Hall of Residence,2,4,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market,5PM-7PM;7PM-9PM,Other Halls of Residence;Tech Market,11pm-12am,UG,2nd,Patel Hall,CY
157,2021/03/08 12:00:57 pm GMT+5:30,0,1,5,4,Gymkhana;Gymkhana Park;Main Building;Other Hall of Residence;Vikramshila;Nalanda;2.2;Nehru Museum;Other,3,8,Your own Hall Canteen;PFC;CCD Mio Amore Area;Subway,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Main Building;Nalanda Complex;Tech Market;Outside Campus;Nehru Museum;Other,1am-2am,UG,5th,Nehru Hall,PH
158,2021/03/08 12:00:57 pm GMT+5:30,2,2,3,1,Library;Main Building;Tech Market;A Department,2,2,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Food City;Tikka;Smart Pind,11AM-1PM;1PM-3PM,I don't go anywhere,12am-1am,UG,5th,JCB Hall,CY
159,2021/03/08 12:00:58 pm GMT+5:30,3,5,2,6,Gymkhana;Library;Main Building;Nalanda;2.2;Outside Campus,2,5,Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Food City;Tikka;Subway,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Main Building;Outside Campus,1am-2am,UG,3rd,MT Hall,CH
160,2021/03/08 12:01:04 pm GMT+5:30,0,1,2,2,Library;Main Building;Tech Market;Vikramshila;Nalanda,1,0,Your own Hall Canteen;VSRC canteen;I generally eat in my hall mess,9AM-11AM;11AM-1PM;5PM-7PM;7PM-9PM,Library;Main Building;Outside Campus,12am-1am,UG,2nd,RP Hall,CS
161,2021/03/08 12:01:05 pm GMT+5:30,3,3,5,3,Gymkhana Park;Tata Sports Complex;Nalanda;2.2,1,2,Your own Hall Canteen,5PM-7PM;7PM-9PM;9PM-11PM,Library;Tata Sports Complex,9pm-10pm,UG,3rd,RP Hall,CE
162,2021/03/08 12:01:06 pm GMT+5:30,1,2,1,1,Gymkhana;Library;Tech Market,2,1,PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Smart Pind,5PM-7PM,Gymkhana;Library;Tech Market,11pm-12am,PG,2nd,SAM Hall,EC
163,2021/03/08 12:01:06 pm GMT+5:30,0,2,3,2,Nalanda;2.2;A Department,1,4,Your own Hall Canteen;Outside Campus;Food City,11AM-1PM;7PM-9PM,Other Halls of Residence;Tech Market;Outside Campus,9pm-10pm,UG,3rd,RK Hall,EE
164,2021/03/08 12:01:13 pm GMT+5:30,2,2,1,2,Tech Market;Nehru Museum;Other,1,1,I generally eat in my hall mess,Never,Tech Market,I usually stay in my room,UG,2nd,LBS Hall,EX
165,2021/03/08 12:01:20 pm GMT+5:30,3,5,5,3,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Tata Sports Complex;2.2;Outside Campus,4,3,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Food City;Tikka;Smart Pind,5PM-7PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Tata Sports Complex;Tech Market,1am-2am,UG,4th,Azad Hall,BT
166,2021/03/08 12:01:24 pm GMT+5:30,1,2,2,1,Nalanda;A Department,1,10,Your own Hall Canteen;Other Hall Canteens;Tech Market;I generally eat in my hall mess,7PM-9PM,Main Building;Tech Market,10pm-11pm,UG,4th,MMM Hall,QE
167,2021/03/08 12:01:24 pm GMT+5:30,2,3,3,1,Tech Market;A Department;Other,1,1,Heritage;Tech Market;Peep Kitchen;Tikka,5PM-7PM;7PM-9PM,Tech Market;Other,9pm-10pm,PG,5th,B R Ambedkar Hall,
168,2021/03/08 12:01:25 pm GMT+5:30,3,3,4,3,Gymkhana;Library;Main Building;Vikramshila;Nalanda;2.2,1,7,Your own Hall Canteen;Other Hall Canteens;Veggies,3PM-5PM;9PM-11PM,2.2;Tech Market;Other,12am-1am,UG,2nd,SN-IG Hall,CH
